"Table Name","Table Descripition","Property Name","DICTIONARYNAME","ATTRIBUTE","Data Type","Multi-Valued","Code File","SB+ Code Table","Conversion Code","Dec. Places","OWNER  SID","CREATEDBY"
"AD Brands","","Digital Remit To Ind","DIGITAL.REMIT.TO.IND","157","Text","No","Y/N Conversion","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Rep Change By User Ids ","DIGITAL.REP.CHANGE.BY.USER.IDS","150","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Digital Rep Change Dates","DIGITAL.REP.CHANGE.DATES","149","Date","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Rep Changed By User ID","DIGITAL.REP.CHANGE.BY","150","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Digital Rep Ids","DIGITAL.REP.IDS","138","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Rep Pcts","DIGITAL.REP.PCTS","139","Numeric","Yes","","","","2","poconnor","Pat O'Connor"
"AD Brands","","Digital Web Group IDs","DIGITAL.WEB.GROUPS","146","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Web Rep IDs","DIGITAL.WEB.REP.IDS","147","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Web Rep Pcts","DIGITAL.WEB.REP.PCTS","148","Numeric","Yes","","","","2","poconnor","Pat O'Connor"
"AD Brands","","Disallow Remnant Ind ","DISALLOW.REMNANT.IND","165","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Contacts Company","EX.CONTACTS.COMPANY","170","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Contacts ID","EX.CONTACTS.ID","171","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Contacts Role ID","EX.CONTACTS.ROLE.ID","172","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Forms Addr ID","EX.FORMS.ADDR","177","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Forms Company","EX.FORMS.COMPANY","175","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","EX Forms Contact ID","EX.FORMS.CONTACT","176","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Exhib Attend ","EXHIB.ATTEND","162","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Exhib Attend Amt ","EXHIB.ATTEND.AMT","163","Numeric","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Exhibitions Billing Contact","EX_BILL_CONTACT","33","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Exhibitor Sort ","EXHIBITOR_SORT","86","Text","No","","","","0","ADMIN","System Administrator"
"AD Brands","","First Prod Contact ID","FIRST.PROD.CONTACT.ID","0","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Inactive Ind","INACTIVE.IND","117","Text","No","Y/N Conversion","","","0","poconnor","Pat O'Connor"
"AD Brands","","Inet Rep Change By ","INET.REP.CHANGE.BY","150","Text","Yes","","","","0","ADMIN","System Administrator"
"AD Brands","","Last Changed By","LAST.CHANGED.BY","0","Text","No","","","","0","ADMIN","System Administrator"
"AD Brands","","Last Changed Date","LAST.CHANGED.DATE","0","Date","No","","","","0","ADMIN","System Administrator"
"AD Brands","","Last Changed Time","LAST.CHANGED.TIME","0","Time","No","","","","0","ADMIN","System Administrator"
"AD Brands","","Last Exhibition Insertion No","LAST_EXHIB_INS","30","Numeric","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Last Insertion No","LAST_INS","25","Numeric","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Last Internet Insertion No","LAST_INET_INS","35","Numeric","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Media Radar ID","MEDIA.RADAR.ID","184","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Order Entry Comment","OE_COMMENT","49","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","PIB Code","PIB_CODE","4","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Planning Agency","PLANNING_AGENCY","89","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Print Production Controller ","PRINT.PRODUCTION.CONTROLLER","161","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Print Remit To Ind ","PRINT.REMIT.TO.IND","159","Text","No","","","","0","flucero","Ferdie Lucero"
"AD Brands","","Prod Contact ID","PROD.CONTACT.ID","126","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Production Email Address","PROD_EMAIL_ID","103","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Publication Id","PUB_CODE","9","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Remit To","REMIT_TO","2","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Removed Pub Date","REMOVED.PUB.DATES","181","Date","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Removed Pub ID","REMOVED.PUB.IDS","180","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Removed Pubs By User ID","REMOVED.PUBS.BY","182","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brands","","Salesrep Id","SALES_CODE","10","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Salesrep Percentage","SALES_PCT","11","Numeric","Yes","","","","2","ADMIN","Greg Stierley"
"AD Brands","","State","STATE","15","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Telephone Number","PHONE","17","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Territory Id","TERRITORY","7","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Third Party Actuals","THIRD.PARTY.ACTUALS","167","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Zip Code","ZIP","16","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Comments/UDFs","","Comment","COMMENT","4","Text","Yes","","","MCP","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Comment Date","COMMENT.DATE","2","Date","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Comment Time","COMMENT.TIME","3","Time","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Comment User ID","COMMENT.USER.ID","5","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Email Rep Ind","EMAIL.REP.IND","6","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Last Changed By","LAST.CHANGED.BY","0","Text","No","","","","0","ADMIN","System Administrator"
"AD Comments/UDFs","","Last Changed Date","LAST.CHANGED.DATE","0","Date","No","","","","0","ADMIN","System Administrator"
"AD Comments/UDFs","","Last Changed Time","LAST.CHANGED.TIME","0","Time","No","","","","0","ADMIN","System Administrator"
"AD Comments/UDFs","","Order ID","@ID","0","Text","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Rep Informed Ind","REP.INFORMED.IND","7","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","Stamp Date","STAMP.DATE","1","Date","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 1","UDF.DATE.1","60","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 10","UDF.DATE.10","69","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 11","UDF.DATE.11","70","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 12","UDF.DATE.12","71","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 13","UDF.DATE.13","72","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 14","UDF.DATE.14","73","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 15","UDF.DATE.15","74","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 16","UDF.DATE.16","75","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 17","UDF.DATE.17","76","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 18","UDF.DATE.18","77","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 19","UDF.DATE.19","78","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 2","UDF.DATE.2","61","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 20","UDF.DATE.20","79","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 21","UDF.DATE.21","80","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 22","UDF.DATE.22","81","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 23","UDF.DATE.23","82","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 24","UDF.DATE.24","83","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 25","UDF.DATE.25","84","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 26","UDF.DATE.26","85","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 27","UDF.DATE.27","86","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 28","UDF.DATE.28","87","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 29","UDF.DATE.29","88","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 3","UDF.DATE.3","62","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 30","UDF.DATE.30","89","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 31","UDF.DATE.31","90","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 32","UDF.DATE.32","91","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 33","UDF.DATE.33","92","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 34","UDF.DATE.34","93","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 35","UDF.DATE.35","94","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 36","UDF.DATE.36","95","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 37","UDF.DATE.37","96","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 38","UDF.DATE.38","97","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 39","UDF.DATE.39","98","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 4","UDF.DATE.4","63","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 40","UDF.DATE.40","99","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 5","UDF.DATE.5","64","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 6","UDF.DATE.6","65","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 7","UDF.DATE.7","66","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 8","UDF.DATE.8","67","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Date 9","UDF.DATE.9","68","Date","No","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 1","UDF.NUMERIC.1","100","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 10","UDF.NUMERIC.10","109","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 11","UDF.NUMERIC.11","110","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 12","UDF.NUMERIC.12","111","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 13","UDF.NUMERIC.13","112","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 14","UDF.NUMERIC.14","113","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 15","UDF.NUMERIC.15","114","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 16","UDF.NUMERIC.16","115","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 17","UDF.NUMERIC.17","116","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 18","UDF.NUMERIC.18","117","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 19","UDF.NUMERIC.19","118","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 2","UDF.NUMERIC.2","101","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 20","UDF.NUMERIC.20","119","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 21","UDF.NUMERIC.21","120","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 22","UDF.NUMERIC.22","121","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 23","UDF.NUMERIC.23","122","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 24","UDF.NUMERIC.24","123","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 25","UDF.NUMERIC.25","124","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 26","UDF.NUMERIC.26","125","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 27","UDF.NUMERIC.27","126","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 28","UDF.NUMERIC.28","127","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 29","UDF.NUMERIC.29","128","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 3","UDF.NUMERIC.3","102","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 30","UDF.NUMERIC.30","129","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 31","UDF.NUMERIC.31","130","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 32","UDF.NUMERIC.32","131","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 33","UDF.NUMERIC.33","132","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 34","UDF.NUMERIC.34","133","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 35","UDF.NUMERIC.35","134","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 36","UDF.NUMERIC.36","135","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 37","UDF.NUMERIC.37","136","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 38","UDF.NUMERIC.38","137","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 39","UDF.NUMERIC.39","138","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 4","UDF.NUMERIC.4","103","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 40","UDF.NUMERIC.40","139","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 5","UDF.NUMERIC.5","104","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 6","UDF.NUMERIC.6","105","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 7","UDF.NUMERIC.7","106","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 8","UDF.NUMERIC.8","107","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Numeric 9","UDF.NUMERIC.9","108","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Picklist 1","UDF.PICKLIST.1","140","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Picklist 1 Code Desc","UDF.PICKLIST.1.VAL","0","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Comments/UDFs","","UDF Picklist 10","UDF.PICKLIST.10","149","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Comments/UDFs","","UDF Picklist 10 Code Desc","UDF.PICKLIST.10.VAL","0","Text","Yes","","","","0","poconnor","Pat O'Connor"
