sml_field_description,sml_attribute_number,sml_alias,sml_screen,sml_informer_mapping,sml_field_name,sml_screen_order
Write Offs - Maximum Amount,99,,AR Group Security,GEN Security File<99>,AR WO Max Amt,40
Allowed to issue Refund to Credit Cards Y/N,360,,AR Group Security,GEN Security File<360>,AR Allow CC Refund,41
Allowed to issue Refund thru A/P Y/N,359,,AR Group Security,GEN Security File<359>,AR Allow AP Refund,42
Customer Maint - allowed to set Credit Stop Flag Y/N,29,,AR Group Security,GEN Security File<29>,Allow Modify Credit Stop Flag,43
Allowed to Transfer Invoices to another Client Y/N,362,,AR Group Security,GEN Security File<362>,AR Transfer to Client Ind,44
Allowed to Transfer Invoices to a Collection Agency Y/N,363,,AR Group Security,GEN Security File<363>,AR Transfer to Coll Ind,45
Display Cash Summary on Home Page Y/N,388,,AR Group Security,GEN Security File<388>,AR Summary Ind,46
Allowed to changeMisc. Invoice Descriptions after Posted to A/R Y/N,398,,AR Group Security,GEN Security File<398>,AR Change Misc Invoices Ind,47
A/R Invoice Inquiry screen - allowed to update Rep Commissions Y/N,412,,AR Group Security,GEN Security File<412>,AR Update Rep Comm Ind,48
Only allow selection of Banks if they match user's Company Security,450,,AR Group Security,GEN Security File<450>,AR Bank Security,49
Force Currency on New Accounts to Country Setting,486,,AR Group Security,GEN Security File<486>,AR Require Curr Code,50
Write-Offs - Allowed to Write off Entire invoices Y/N,270,,AR Group Security,GEN Security File<270>,AR Cash WO Invoice,-1
"Write-Offs - Allowed to Write off invoices is balance is less than ""x""",271,,AR Group Security,GEN Security File<271>,AR Cash WO Max Pct,-1
Prompt to Change Status of CH Orders Y/N,277,,AR Group Security,GEN Security File<277>,AR Cash Prompt CH Orders,-1
Account Summary Screen - Age by Due Date or Invoice Date D/I,384,,AR Group Security,GEN Security File<384>,AR Age By,-1
Disable Excel / PDF export Options Y/N,428,,Company Security,SEC.REC<428>,GEN Disable Export,1
Companies that can be accessed - Id,40,,Company Security,SEC.REC<40>,Companies,2
Companies that can be accessed - Name,0,,Company Security,NEW MAPPING,Company Desc,3
List of User Defined Fields - Field Ids,127,,CRM Security,GEN Security File<127>,CRM UDF Key,1
List of Comp. Type Codes - Code Ids,147,,CRM Security,GEN Security File<147>,CRM Comp Type Codes,2
List of Category Group Codes - Code Ids,211,,CRM Security,GEN Security File<211>,CRM Category Groups,3
List of Name Removal Reason Codes - Code Ids,146,,CRM Security,GEN Security File<146>,CRM Reason Codes,4
Allowed access to Full Name Maintenance Screen Ind.,330,,CRM Security,GEN Security File<330>,CRM Full Name Maint,5
Require Source when creating new customer accounts from CRM,433,,CRM Security,GEN Security File<433>,CRM Source Code Reqd,6
Default Name Class,380,,CRM Security,GEN Security File<380>,CRM Dflt Name Class,7
Allowed to Add a New Company Ind.,133,,CRM Security,GEN Security File<133>,CRM Add Company,8
Allowed to Change a Company Address Ind.,128,,CRM Security,GEN Security File<128>,CRM Change Customer Address,9
Allowed to Add a Company Address Ind.,129,,CRM Security,GEN Security File<129>,CRM Add Customer Address,10
Allowed to Change a Company Name Ind.,130,,CRM Security,GEN Security File<130>,CRM Change Customer Name,11
Allowed to Change a Company's Parent Ind.,131,,CRM Security,GEN Security File<131>,CRM Change Parent,12
Allowed to Change a Company's Web Site Ind.,132,,CRM Security,GEN Security File<132>,CRM Change Customer Web Site,13
Allowed to Add a Contact Ind.,134,,CRM Security,GEN Security File<134>,CRM Add Contact,14
Allowed to Enter Credit Control Notes Ind.,210,,CRM Security,GEN Security File<210>,CRM Enter CC Notes,14
Allowed to Change a Contact's Address,135,,CRM Security,GEN Security File<135>,CRM Change Contact Address,15
Allowed to Add a Contact Address,136,,CRM Security,GEN Security File<136>,CRM Add Prospect Address,16
Allowed to Change a Contact's Name Ind.,137,,CRM Security,GEN Security File<137>,CRM Change Contact Name,17
Allowed to Change a Contact's Employer Ind.,138,,CRM Security,GEN Security File<138>,CRM Change Contact Employer,18
Allowed to Change a Contact's Phone no. Ind.,139,,CRM Security,GEN Security File<139>,CRM Change Contact Phone,19
Allowed to Change a Contact's Email Address Ind.,140,,CRM Security,GEN Security File<140>,CRM Change Contact Email,20
Allowed to Change a Contact's Job Title Ind.,141,,CRM Security,GEN Security File<141>,CRM Change Contact Job Title,21
Allowed to Change a Contact's Social Media Links Ind.,142,,CRM Security,GEN Security File<142>,CRM Change Contact Social Media,22
Allowed to Change a Contact's Type Ind.,143,,CRM Security,GEN Security File<143>,CRM Change Contact Type,23
Allowed to Change a Contact's Privacy Prefernces Ind.,144,,CRM Security,GEN Security File<144>,CRM Change Contact Privacy,24
Allowed to change notes on Closed Actions,402,,CRM Security,GEN Security File<402>,CRM Change Notes Ind,25
Opportunities - Warn user on Save if stage didn't change,243,,CRM Security,GEN Security File<243>,CRM Opportunity Check,26
Opportunities - Make the expected Close Date Mandatory,399,,CRM Security,GEN Security File<399>,CRM Opp Close Date Ind,27
Opportunities - Pevent Change of Opportunity Pct%,310,,CRM Security,GEN Security File<310>,CRM No Change Opp Pct,28
Allowed Access to Set Up Screens Ind.,216,,CRM Security,GEN Security File<216>,CRM Allow Setup,29
CRM prospect Screen - only show Pipeline Opportunites Y/N,426,,CRM Security,GEN Security File<426>,CRM Opp Display,30
"Call List - Tab Prompt (Blank=Always Prompt, N=Always open in new tab,S=Always open in same tab)",425,,CRM Security,GEN Security File<425>,CRM Call List Prompt,31
Client Inquiry screen - only show Confirmed Future orders in Order Summary Y/N,484,,CRM Security,GEN Security File<484>,CRM Confirmed Orders Ind,32
Only allow Print / Digital Orders via Proposals Y/N,254,,CRM Security,GEN Security File<254>,CRM Orders Via Proposals,-1
"Option to show ""Add New Contact"" on CRM Menu Y/N",389,,CRM Security,GEN Security File<389>,CRM New Contact Prompt,-1
List of selected Ad CRM Reports - Unique Id,386,,Ad Security,GEN Security File<386>,CRM Ad Rep Screens,5
List of selected Ad CRM Reports - Desc.,0,,CRM Security,iDescriptor,CRM Ad Rep Screen Desc,5
List of selected Exhib CRM Reports - Unique Id,387,,CRM Security,GEN Security File<387>,CRM EX Rep Screens,-1
List of selected Exhib CRM Reports - Desc.,0,,CRM Security,iDescriptor,CRM EX Rep Screen Desc,-1
List of Exhibition Groups for this record - Group Name,0,,EX Security,SEC.REC<0.M>,EX Group Desc,1
Default Status on New Campaigns - FEATURE NOT AVAILABLE,-1,,EX Security,N/A,N/A,2
List of Status Codes for this record - Code id,180,,EX Security,SEC.REC<180>,EX Allowed Status Codes,3
List of Status Codes for this record - Code Desc.,0,,EX Security,SEC.REC<0.M>,EX Allowed Status Desc,3
List of Exhibitor Types for this Group - Type Id,200,,EX Security,SEC.REC<200>,EX Exhibitor Typesk,4
Floorplan - View Only Ind.,183,,EX Security,SEC.REC<183>,EX Fp View Only,5
Floorplan - Is User allowed to Split Booths Ind.,184,,EX Security,SEC.REC<184>,EX Fp Split Ind,6
Floorplan - Is User allowed to Merge Booths Ind.,185,,EX Security,SEC.REC<185>,EX Fp Merge Ind,7
Floorplan - Is User allowed to Renumber Booths Ind.,186,,EX Security,SEC.REC<186>,EX Fp Renumber Ind,8
Floorplan - Is User allowed to Transfer Booths Ind.,187,,EX Security,SEC.REC<187>,EX Fp Transfer Ind,9
Floorplan - Is User allowed to Delete Booths Ind.,189,,EX Security,SEC.REC<189>,EX Fp ,10
Floorplan - Is User allowed to Move Booths Ind.,190,,EX Security,SEC.REC<190>,EX Fl Move Ind,11
Floorplan - Is User allowed to Copy Booths Ind.,201,,EX Security,SEC.REC<201>,EX Fp Copy Ind,12
Floorplan - Is User allowed to Redraw Booths Ind.,202,,EX Security,SEC.REC<202>,EX Fp Redraw Ind,13
Floorplan - Is User allowed to Resize Booths Ind.,203,,EX Security,SEC.REC<203>,EX Fp Resize Ind,14
Change an Order - Allowed to Change Confirmed Orders Y/N,391,,EX Security,SEC.REC<391>,EX Change CO Orders Ind,15
Change an Order - Allowed to Swap Booth on Confirmed Orders Y/N,429,,EX Security,SEC.REC<429>,EX Swap CO Orders,16
Change an Order - Allowed to Change Billed Orders Y/N,392,,EX Security,SEC.REC<392>,EX Change Billed Orders Ind,17
Change an Order - Allowed to Swap Booth on Billed Orders Y/N,430,,EX Security,SEC.REC<430>,EX Swap Billed Orders,18
Change an Order - Allowed to Change Orders in a closed show Y/N,393,,EX Security,SEC.REC<393>,EX Change Closed Orders Ind,19
Order Entry - Allowed to create Divisions Ind.,212,,EX Security,SEC.REC<212>,EX OE Create Divisions,20
Order Entry - Allowed to change Reps on an Order Ind.,213,,EX Security,SEC.REC<213>,EX OE Override Reps,21
Order Entry - Allowed to assign changed Reps to the Division Ind.,214,,EX Security,SEC.REC<214>,EX OE Rep Divisions,22
Order Entry - Allowed to enter Pre-Payments Ind.,223,,EX Security,SEC.REC<223>,EX Enter PP,23
Order Entry - Allow space overbooking on Quotes Y/N,390,,EX Security,SEC.REC<390>,EX Oversell Booths,24
Order Entry - Disable Forms Tracking in Order Entry Y/N,407,,EX Security,SEC.REC<407>,EX OE Disable Forms,25
Bill-To on Orders must match Campaign's Bill-To Y/N (if linked to a Campaign),238,,EX Security,SEC.REC<238>,Mmd Billto Ind,26
Change an Order - Do not allow billing schedule if there's a Default Schedule Y/N,479,,EX Security,SEC.REC<479>,EX Change Sched Billed Ind,27
List of Exhibition Groups for this record - Group Id,47,,EX Security,SEC.REC<47>,EX Group,-1
Exhibition Analysis - hide budgets and Targets Y/N,473,,EX Security,SEC.REC<473>,EX Hide Budgets Ind,-1
Floorplan - Is User allowed to Link Booths Ind.,188,,EX Security,SEC.REC<188>,EX FP Link Ind,-1
Allowed to use Approved Status on Journal Entries,361,,GL Group Security,GEN Security File<361>,GL JE Approved Status,1
"Default Journal Entrry Status (P=Pending,A=Approved)",374,,GL Group Security,GEN Security File<374>,GL Dflt Journal Status,2
"Journal Entry Import - Default Auto Assign to ""Y""",395,,GL Group Security,GEN Security File<395>,GL JE Dflt Ind,3
Display Cash Summary on G/L Home Page,366,,GL Group Security,GEN Security File<366>,GL Show Cash Summary,4
Restrict Trial Balance / Budget List to Allowed G/L Groups Y/N,371,,GL Group Security,GEN Security File<371>,GL Trial Balance Ind,5
Can User Access Customer Maintenance Y/N,296,,Name Security,GEN Security File<296>,Allow Customer Maint,1
Can User Add New Names Y/N,297,,Name Security,GEN Security File<297>,Allow Add Names,2
"Name Changes - Allowed to Change ""Do Not Use Flag"" Y/N",90,,Name Security,GEN Security File<90>,Allow Change DNU Flag,3
"Name Changes - Allowed to Change ""Employer"" Y/N",91,,Name Security,GEN Security File<91>,Allow Change Employer,4
"Name Changes - Allowed to Change ""Legacy Id"" Y/N",357,,Name Security,GEN Security File<357>,Allow Change Legacy ID,5
General - View only/ Editing allowed / No Access V/E/N,309,,Name Security,GEN Security File<309>,GEN Cust Option,6
A/R   - View only / Editing allowed / No Access (V/E/N),305,,Name Security,GEN Security File<305>,AR Cist Option,7
Ad - View only / Editing allowed / No Access (V/E/N),300,,Name Security,GEN Security File<300>,AD Cust Option,8
Exhib - View only / Editing allowed / No Access (V/E/N),301,,Name Security,GEN Security File<301>,EX Cust Option,9
Single Copy Sales/Newsstand - View only / Editing allowed / No Access (V/E/N),307,,Name Security,GEN Security File<307>,SC Cust Option,10
Alerts - View only/ Editing allowed / No Access V/E/N,308,,Name Security,GEN Security File<308>,Alert Cust Option,11
Allowed Client Access Codes,483,,Name Security,GEN Security File<483>,IN Client Access Codes,12
Circ  - View only / Editing allowed / No Access (V/E/N),302,,Name Security,GEN Security File<302>,CW Cust Option,-1
Book  - View only / Editing allowed / No Access (V/E/N),303,,Name Security,GEN Security File<303>,BW Cust Option,-1
Conf  - View only / Editing allowed / No Access (V/E/N),304,,Name Security,GEN Security File<304>,CF Cust Option,-1
Memb  - View only / Editing allowed / No Access (V/E/N),306,,Name Security,GEN Security File<306>,Mm Cust Option,-1
Allow selection of Do Not use Names in Book/Circ Order Entry Y/N,88,,Name Security,GEN Security File<88>,Allow Sel DNU Names BW OE,-1
Include Do Not use Names Book/Circ Select Lists Y/N,89,,Name Security,GEN Security File<89>,Include DNU BK CI Sel Lists,-1
Product Groups user has access to,103,,Product Group Security,GEN Security File<103>,Web Group ID,1
Apply Product Group Security in Client Inquiry screen Y/N,471,,Product Group Security,GEN Security File<471>,IN Client Inquiry Groups,2
Exhibition Groups user has access to,47,,Product Group Security,GEN Security File<47>,EX Group,-1
Changing Materials - Suppress prompt to create New Materials,432,,PW Security,GEN Security File<432>,Pw Suppress Material Prompt,1
Materials - Require Material Desc. Y/N,457,,PW Security,GEN Security File<457>,IN Material Desc Reqd,2
Materials - Require Ad Headline on Print material Y/N,460,,PW Security,GEN Security File<460>,Mat Ad Headline Reqd,3
Materials - Require Creative Type on Digital material Y/N,458,,PW Security,GEN Security File<458>,IN Mat Creative Type Reqd,4
Materials - Require Click Url on Digital material Y/N,459,,PW Security,GEN Security File<459>,IN Mate click URL Reqd,5
