"Table Name","Table Descripition","Property Name","DICTIONARYNAME","ATTRIBUTE","Data Type","Multi-Valued","Code File","SB+ Code Table","Conversion Code","Dec. Places","OWNER  SID","CREATEDBY","CREATEDON","MODIFIEDON"
"AD Brand Pubs Reps","","Publication Id","PUB_CODE","0","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
"AD Brand Pubs Reps","","Record Key","ID","0","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
"AD Brand Pubs Reps","","Salesrep Id","REPS","2","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
"AD Brand Pubs Reps","","Salesrep Percentage","REP_PCTS","3","Numeric","Yes","","","","2","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
"AD Brands","","Ad Headlines ","AD_HEADLINES","26","Text","Yes","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","Ad Pc Prod Role","AD.PC.PROD.ROLE","155","Text","Yes","","","","0","ADMIN","System Administrator","2023-05-12","2023-05-12"
"AD Brands","","Address Line 1","ADDR1","12","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Address Line 2","ADDR2","13","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Address Line 3","ADDR3","87","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Adv Brand Id","ID","0","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Advertiser ID","CLIENT.ID","0","Text","No","","","","0","flucero","Ferdie Lucero","2016-02-11","2016-02-11"
"AD Brands","","Advertiser Index Name","ADINDEX_NAME","55","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Agency","AGENCY","3","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Agency Changes Date","AGENCY.CHANGES.DATE","187","Date","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Agency Changes ID","AGENCY.CHANGES.ID","186","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Agency Changes Time","AGENCY.CHANGES.TIME","188","Time","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Agency Changes User","AGENCY.CHANGES.USER","189","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Billing Contact","BILL_CONTACT","6","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Brand ID","BRAND.CODE","0","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-18","2012-01-18"
"AD Brands","","Brand Logo Url ","BRAND.LOGO.URL","168","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Brand Name","BRAND_NAME","1","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Brand Notes","SPARE1","23","Text","No","","","","0","flucero","Ferdie Lucero","2016-04-14","2016-04-14"
"AD Brands","","Brand Product Group Key","BRAND.REP.KEY","0","Text","Yes","","","","0","ADMIN","System Administrator","2022-08-18","2022-08-18"
"AD Brands","","Brand Product Rep Key","BRAND.PRODUCT.REP.KEY","0","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2022-08-17","2022-08-17"
"AD Brands","","Campaign Manager ID","CAMPAIGN.MANAGER.ID","190","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","City","CITY","14","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Confirmation Agency","ACK_AGENCY","88","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Contact","CONTACT","18","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Coop Flag","COOP_FLAG","54","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Country Code","COUNTRY_CODE","85","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Date Time Stamp ","DATE.TIME.STAMP","200","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Digital Address ID","DIGITAL.ADDRESS.ID","142","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Agency ID","DIGITAL.AGENCY","140","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Billing Contact ID","DIGITAL.BILLING.CONTACT","141","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Conf Address ID","DIGITAL.CONF.ADDRESS.ID","144","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Conf Contact ID","DIGITAL.CONF.CONTACT.ID","143","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Conf Contact IDs","DIGITAL.CONF.CONTACT.IDS","158","Text","Yes","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Discount Pct ","DIGITAL.DISCOUNT.PCT","166","Numeric","No","","","","2","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Digital Original Rep Pcts","DIGITAL.ORIG.REP.PCTS","152","Numeric","Yes","","","","2","poconnor","Pat O'Connor","2015-12-15","2017-05-15"
"AD Brands","","Digital Original Reps IDs","DIGITAL.ORIG.REPS.IDS","151","Text","Yes","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Planning Agency ID","DIGITAL.PLANNING.AGENCY.ID","164","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Production Controller ID","DIGITAL.PROD.CONTROLLER.ID","156","Text","No","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Remit To Ind","DIGITAL.REMIT.TO.IND","157","Text","No","Y/N Conversion","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Rep Change By User Ids ","DIGITAL.REP.CHANGE.BY.USER.IDS","150","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Digital Rep Change Dates","DIGITAL.REP.CHANGE.DATES","149","Date","Yes","","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Rep Changed By User ID","DIGITAL.REP.CHANGE.BY","150","Text","Yes","","","","0","gstierley","Greg Stierley","2017-03-07","2017-03-07"
"AD Brands","","Digital Rep Ids","DIGITAL.REP.IDS","138","Text","Yes","","","","0","poconnor","Pat O'Connor","2015-12-16","2015-12-16"
"AD Brands","","Digital Rep Pcts","DIGITAL.REP.PCTS","139","Numeric","Yes","","","","2","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Digital Web Group IDs","DIGITAL.WEB.GROUPS","146","Text","Yes","","","","0","poconnor","Pat O'Connor","2015-12-15","2017-05-15"
"AD Brands","","Digital Web Rep IDs","DIGITAL.WEB.REP.IDS","147","Text","Yes","","","","0","poconnor","Pat O'Connor","2015-12-15","2017-01-16"
"AD Brands","","Digital Web Rep Pcts","DIGITAL.WEB.REP.PCTS","148","Numeric","Yes","","","","2","poconnor","Pat O'Connor","2015-12-15","2017-01-16"
"AD Brands","","Disallow Remnant Ind ","DISALLOW.REMNANT.IND","165","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Contacts Company","EX.CONTACTS.COMPANY","170","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Contacts ID","EX.CONTACTS.ID","171","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Contacts Role ID","EX.CONTACTS.ROLE.ID","172","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Forms Addr ID","EX.FORMS.ADDR","177","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Forms Company","EX.FORMS.COMPANY","175","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","EX Forms Contact ID","EX.FORMS.CONTACT","176","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Exhib Attend ","EXHIB.ATTEND","162","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Exhib Attend Amt ","EXHIB.ATTEND.AMT","163","Numeric","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Exhibitions Billing Contact","EX_BILL_CONTACT","33","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Exhibitor Sort ","EXHIBITOR_SORT","86","Text","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","First Prod Contact ID","FIRST.PROD.CONTACT.ID","0","Numeric","No","","","","0","gstierley","Greg Stierley","2013-06-14","2013-06-14"
"AD Brands","","Import ID","IMPORT.ID","202","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In Pc Prod ID","IN.PC.PROD.ID","153","Text","Yes","","","","0","ADMIN","System Administrator","2023-05-12","2023-05-12"
"AD Brands","","In Pc Prod Products","IN.PC.PROD.PRODUCTS","169","Text","Yes","","","","0","ADMIN","System Administrator","2023-05-12","2023-05-12"
"AD Brands","","In Pc Prod Role","IN.PC.PROD.ROLE","154","Text","Yes","","","","0","ADMIN","System Administrator","2023-05-12","2023-05-12"
"AD Brands","","In TS Changed Date","IN.TS.CHANGED.DATE","198","Date","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact Address","IN.TS.CONTACT.ADDRESS","196","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact Email","IN.TS.CONTACT.EMAIL","197","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact ID","IN.TS.CONTACT.ID","193","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact Method","IN.TS.CONTACT.METHOD","192","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact No","IN.TS.CONTACT.NO","191","Numeric","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact Products","IN.TS.CONTACT.PRODUCTS","195","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","In TS Contact Role","IN.TS.CONTACT.ROLE","194","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Inactive Ind","INACTIVE.IND","117","Text","No","Y/N Conversion","","","0","poconnor","Pat O'Connor","2015-12-15","2015-12-15"
"AD Brands","","Inet Inv Contacts","INET.INV.CONTACTS","203","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Inet Rep Change By ","INET.REP.CHANGE.BY","150","Text","Yes","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","Inf Last Changed By","INF.LAST.CHANGED.BY","206","Text","No","","","","0","ADMIN","System Administrator","2024-02-21","2024-02-21"
"AD Brands","","Inf Last Changed Date","INF.LAST.CHANGED.DATE","204","Date","No","","","","0","ADMIN","System Administrator","2024-02-21","2024-02-21"
"AD Brands","","Inf Last Changed Time","INF.LAST.CHANGED.TIME","205","Time","No","","","","0","ADMIN","System Administrator","2024-02-21","2024-02-21"
"AD Brands","","Intl Brand Name","INTL.BRAND.NAME","0","Text","No","","","","0","ADMIN","System Administrator","2023-03-17","2023-03-17"
"AD Brands","","Last Changed By","LAST.CHANGED.BY","0","Text","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","Last Changed Date","LAST.CHANGED.DATE","0","Date","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","Last Changed Time","LAST.CHANGED.TIME","0","Time","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brands","","Last Exhibition Insertion No","LAST_EXHIB_INS","30","Numeric","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Last Insertion No","LAST_INS","25","Numeric","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Last Internet Insertion No","LAST_INET_INS","35","Numeric","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Media Radar ID","MEDIA.RADAR.ID","184","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Order Entry Comment","OE_COMMENT","49","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","PIB Changes Date","PIB.CHANGES.DATE","208","Date","Yes","","","","0","ADMIN","System Administrator","2024-09-09","2024-09-09"
"AD Brands","","PIB Changes ID","PIB.CHANGES.ID","207","Text","Yes","","","","0","ADMIN","System Administrator","2024-09-09","2024-09-09"
"AD Brands","","PIB Changes Time","PIB.CHANGES.TIME","209","Time","Yes","","","","0","ADMIN","System Administrator","2024-09-09","2024-09-09"
"AD Brands","","PIB Changes User","PIB.CHANGES.USER","210","Text","Yes","","","","0","ADMIN","System Administrator","2024-09-09","2024-09-09"
"AD Brands","","PIB Code","PIB_CODE","4","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Planning Agency","PLANNING_AGENCY","89","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Print Production Controller ","PRINT.PRODUCTION.CONTROLLER","161","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Print Remit To Ind ","PRINT.REMIT.TO.IND","159","Text","No","","","","0","flucero","Ferdie Lucero","2017-05-02","2017-05-02"
"AD Brands","","Prod Contact ID","PROD.CONTACT.ID","126","Text","Yes","","","","0","gstierley","Greg Stierley","2013-06-14","2013-06-14"
"AD Brands","","Product IDs","PRODUCT.IDS","185","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-03-31","2021-03-31"
"AD Brands","","Production Email Address","PROD_EMAIL_ID","103","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Publication Id","PUB_CODE","9","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Remit To","REMIT_TO","2","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Removed Pub Date","REMOVED.PUB.DATES","181","Date","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Removed Pub ID","REMOVED.PUB.IDS","180","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Removed Pubs By User ID","REMOVED.PUBS.BY","182","Text","Yes","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Salesrep Id","SALES_CODE","10","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Salesrep Percentage","SALES_PCT","11","Numeric","Yes","","","","2","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","State","STATE","15","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Telephone Number","PHONE","17","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Territory Id","TERRITORY","7","Text","Yes","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Brands","","Third Party Actuals","THIRD.PARTY.ACTUALS","167","Text","No","","","","0","gstierley","Greg Stierley","2018-07-30","2018-07-30"
"AD Brands","","Zip Code","ZIP","16","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-11","2012-01-18"
"AD Client Contracts","","@id","@ID","0","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change Data Type","CHANGE.DATA.TYPE","46","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change Date","CHANGE.DATE","40","Date","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change Field","CHANGE.FIELD","43","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change From","CHANGE.FROM","44","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change Time","CHANGE.TIME","41","Time","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
"AD Client Contracts","","Change To","CHANGE.TO","45","Text","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-02-04","2021-02-04"
